epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4994,1.10974,4.6156,1.59508,0,0,0,0,1.00122,4.23644,1.78183,5.66176e-05,5.66176e-05,5.66176e-05
2,72.9011,0.90081,4.33021,1.44873,0.02246,0.085,0.02384,0.01603,0.99798,4.07912,1.72167,0.000113528,0.000113528,0.000113528
3,109.848,0.93177,3.95252,1.46083,0.37839,0.12506,0.09444,0.05896,1.2299,3.25034,1.93727,0.000168996,0.000168996,0.000168996
4,147.141,0.95722,3.54392,1.48921,0.32378,0.19459,0.14748,0.08834,1.2216,3.07935,1.89792,0.000168503,0.000168503,0.000168503
5,184.766,0.97763,3.22316,1.49227,0.24225,0.27559,0.19319,0.09065,1.37049,2.93123,2.21918,0.000166337,0.000166337,0.000166337
6,222.337,0.97582,2.92268,1.48439,0.28589,0.33125,0.22513,0.13382,1.26032,2.70522,1.94219,0.000164172,0.000164172,0.000164172
7,259.33,0.95825,2.76127,1.46485,0.3915,0.28043,0.28052,0.17236,1.16711,2.51908,1.84381,0.000162006,0.000162006,0.000162006
8,297.549,0.94204,2.56585,1.45351,0.34044,0.35189,0.27043,0.17025,1.20527,2.73515,1.91418,0.000159841,0.000159841,0.000159841
9,333.469,0.93092,2.38304,1.44323,0.3825,0.30484,0.2991,0.17314,1.32796,2.65862,2.10235,0.000157675,0.000157675,0.000157675
10,372.84,0.91889,2.25681,1.42856,0.35576,0.37733,0.36912,0.23309,1.22868,2.4789,1.96626,0.000155509,0.000155509,0.000155509
11,410.549,0.88432,2.12073,1.39547,0.38389,0.3989,0.38236,0.23844,1.1894,2.22418,1.84226,0.000153344,0.000153344,0.000153344
12,447.384,0.88862,1.99607,1.3976,0.42559,0.34817,0.36971,0.22638,1.20711,2.26857,1.88937,0.000151178,0.000151178,0.000151178
13,484.158,0.86923,1.9411,1.3855,0.3435,0.44412,0.37942,0.22921,1.18237,2.37062,1.85995,0.000149012,0.000149012,0.000149012
14,520.508,0.86495,1.8491,1.37885,0.39516,0.44164,0.39675,0.24169,1.19006,2.2233,1.85751,0.000146847,0.000146847,0.000146847
15,557.857,0.86657,1.81281,1.38299,0.41726,0.47224,0.45151,0.27516,1.21559,2.13694,1.90032,0.000144681,0.000144681,0.000144681
16,595.638,0.83966,1.72071,1.35254,0.44098,0.43407,0.43887,0.26706,1.18357,2.05143,1.83268,0.000142516,0.000142516,0.000142516
17,632.809,0.84076,1.67774,1.35227,0.4393,0.38416,0.42906,0.25669,1.28877,2.13032,1.97844,0.00014035,0.00014035,0.00014035
18,669.765,0.81894,1.58097,1.32953,0.40025,0.50561,0.45274,0.29372,1.16922,2.13854,1.85477,0.000138184,0.000138184,0.000138184
19,706.633,0.81274,1.57006,1.32399,0.43164,0.48559,0.48378,0.29909,1.23789,2.06374,1.92951,0.000136019,0.000136019,0.000136019
20,743.846,0.79817,1.51984,1.32223,0.4139,0.50944,0.46434,0.29133,1.16031,2.0706,1.81543,0.000133853,0.000133853,0.000133853
21,780.693,0.79815,1.48427,1.32292,0.44725,0.49028,0.4779,0.28396,1.24621,2.07663,2.01065,0.000131687,0.000131687,0.000131687
22,817.118,0.79017,1.43833,1.31113,0.50437,0.49368,0.50669,0.30655,1.19154,1.95724,1.87012,0.000129522,0.000129522,0.000129522
23,854.725,0.78066,1.3985,1.30194,0.52869,0.35601,0.44779,0.27345,1.1976,2.12297,1.87981,0.000127356,0.000127356,0.000127356
24,891.752,0.7866,1.35189,1.29484,0.52846,0.50331,0.51382,0.32198,1.21024,1.94227,1.92502,0.000125191,0.000125191,0.000125191
25,929.422,0.75307,1.32545,1.27359,0.52317,0.44098,0.48501,0.30423,1.17613,2.02322,1.83096,0.000123025,0.000123025,0.000123025
26,966.745,0.75316,1.29999,1.28007,0.42239,0.48122,0.47356,0.30584,1.23226,2.0493,1.9892,0.000120859,0.000120859,0.000120859
27,1002.35,0.74121,1.26502,1.27297,0.51017,0.46254,0.47054,0.29668,1.19842,2.01107,1.9291,0.000118694,0.000118694,0.000118694
28,1038.39,0.74638,1.23155,1.2611,0.4894,0.49053,0.49079,0.31387,1.14931,2.03828,1.85222,0.000116528,0.000116528,0.000116528
29,1073.96,0.73085,1.21166,1.25564,0.40913,0.48211,0.46661,0.29871,1.18968,1.9757,1.83484,0.000114362,0.000114362,0.000114362
30,1110.5,0.73163,1.19842,1.25415,0.46992,0.51456,0.51708,0.32701,1.15341,1.94429,1.86923,0.000112197,0.000112197,0.000112197
31,1148.97,0.73118,1.17317,1.26013,0.48545,0.43246,0.43159,0.26822,1.23723,2.15053,1.89487,0.000110031,0.000110031,0.000110031
32,1184.08,0.7274,1.16916,1.24914,0.54144,0.43326,0.49233,0.31298,1.14231,1.9769,1.8381,0.000107866,0.000107866,0.000107866
33,1221.75,0.73098,1.15888,1.26254,0.49923,0.47939,0.50108,0.30928,1.18763,1.99154,1.91337,0.0001057,0.0001057,0.0001057
34,1256.61,0.70787,1.1076,1.23731,0.49562,0.48799,0.50576,0.32838,1.13492,1.91291,1.8242,0.000103534,0.000103534,0.000103534
35,1293.88,0.70156,1.08137,1.23587,0.50421,0.53708,0.49584,0.31595,1.13365,1.98139,1.83385,0.000101369,0.000101369,0.000101369
36,1330.15,0.70355,1.05514,1.22105,0.54079,0.5276,0.53488,0.34567,1.16284,1.87561,1.87263,9.92031e-05,9.92031e-05,9.92031e-05
37,1366.57,0.69028,1.07366,1.22276,0.48593,0.4592,0.50656,0.3176,1.19101,1.9723,1.90196,9.70375e-05,9.70375e-05,9.70375e-05
